Trajectories
100
,,WBObject:WB_ID1,,,WBObject:WB_ID2,,,WBObject:WB_ID3,,,WBObject:WB_ID4,,,WBObject:WB_ID5,,,WBObject:WB_ID6,,,WBObject:WB_ID7,,,WBObject:WB_ID8,,,WBObject:WB_ID9,,,WBObject:WB_ID10,,,WBObject:WB_ID11,,,WBObject:WB_ID12,,,WBObject:WB_ID13,,,WBObject:WB_ID14,,,WBObject:WB_ID15,,,WBObject:WB_ID16,,,WBObject:WB_ID17,,,WBObject:WB_ID18,,,WBObject:WB_ID19,,,WBObject:WB_ID20,,,WBObject:WB_ID21,,,WBObject:WB_ID22,,,WBObject:WB_ID23,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,982.505859,-551.104126,475.346252,1027.663208,-349.795319,456.500793,1074.384521,-270.571777,366.145447,1096.904541,-263.800537,396.434387,1096.544678,-256.039459,435.974915,1053.424927,-58.157158,382.249146,,,,1115.713623,791.232544,181.726151,1122.299438,932.145203,196.513046,870.263184,981.499451,196.532547,824.534424,846.317444,184.294281,669.611511,383.425873,13.503256,553.222107,13.928171,397.651459,482.228210,-126.872971,500.723907,516.824646,-135.119446,520.550842,554.567017,-148.721878,515.497192,480.179749,-240.846191,478.051056,423.134186,-439.846222,497.297272,653.838318,85.267929,590.982361,641.380493,760.625061,667.835083,991.011230,1005.329468,698.787109,1257.846924,642.370850,664.360718,975.673279,26.219799,587.769958
21,0,982.547302,-551.163086,475.378815,1027.701294,-349.790558,456.512054,1074.338745,-270.582489,366.182587,1096.943481,-263.801361,396.496368,1096.580566,-256.027374,435.974121,1053.256470,-58.141422,382.251129,,,,1115.747559,791.251587,181.764053,1122.308105,932.170837,196.535721,870.033020,981.580505,196.715134,824.486511,846.299500,184.430252,669.615173,383.437256,13.540465,553.184265,14.005832,397.638611,482.393860,-126.925705,500.661743,516.851746,-135.099915,520.610962,554.579102,-148.730392,515.507812,480.173676,-240.826675,478.013519,423.151123,-439.842834,497.273132,653.762695,85.394150,591.019958,641.393311,760.624756,667.902283,991.002197,1005.357361,698.782898,1257.874268,642.355957,664.364258,975.671143,26.161518,587.792908
22,0,982.484924,-551.122498,475.345093,1027.673950,-349.794800,456.522156,1074.347046,-270.557800,366.146027,1096.940186,-263.817413,396.461609,1096.541382,-256.059631,435.964264,1053.708618,-57.832039,382.770477,,,,1115.703613,791.236450,181.733444,1122.293213,932.161926,196.544403,870.241455,981.445374,196.556717,824.295715,846.309998,184.446243,669.583435,383.419891,13.518781,553.233276,13.936706,397.604248,482.214935,-126.896858,500.645050,516.750366,-135.141510,520.638062,554.574707,-148.731369,515.505371,480.158356,-240.842331,478.055786,423.112579,-439.852081,497.287201,653.703003,85.367462,591.029724,641.333740,760.622864,667.918152,990.996643,1005.329224,698.774048,1257.830322,642.325806,664.371948,975.659851,26.223232,587.778259
23,0,982.522461,-551.163513,475.352295,1027.677734,-349.770905,456.483673,1074.340332,-270.537781,366.134247,1096.902954,-263.743866,396.430420,1096.550659,-256.034515,435.946075,1053.266724,-58.131458,382.224854,,,,1115.763916,791.228821,181.729813,1122.298706,932.156189,196.500656,870.013550,981.620911,196.763992,824.544739,846.290833,184.303391,669.623108,383.414520,13.505792,553.226685,13.965997,397.638367,482.196991,-126.953827,500.724976,516.842590,-135.054138,520.597351,554.628296,-148.722076,515.507751,480.186829,-240.824677,478.034424,423.158875,-439.844147,497.248810,653.787903,85.285507,590.964233,641.401428,760.581543,667.830750,991.029114,1005.337463,698.766418,1257.835815,642.319031,664.356934,975.677490,26.175657,587.785095
24,0,982.495728,-551.184021,475.368652,1027.690796,-349.812988,456.527344,1074.313232,-270.564758,366.200104,1096.917969,-263.792206,396.473267,1096.521484,-256.047333,435.951447,1053.229370,-58.163296,382.256409,,,,1115.696289,791.218445,181.725342,1122.263062,932.161804,196.535782,869.974792,981.615417,196.774170,824.612854,846.267029,184.280380,669.599426,383.404419,13.547170,553.239380,13.898626,397.625824,482.253082,-126.879112,500.677063,516.756104,-135.115692,520.693909,554.544800,-148.717377,515.543518,480.150574,-240.846283,478.058136,423.136322,-439.924866,497.180786,653.723877,85.281227,590.953674,641.369812,760.617493,667.896301,991.007080,1005.355469,698.799255,1257.823975,642.323242,664.371338,975.674927,26.133003,587.745239
25,0,982.497009,-551.099060,475.366974,1027.655151,-349.807861,456.501373,1074.261353,-270.450836,366.107178,1096.870728,-263.739716,396.466827,1096.513306,-255.970871,435.941986,1053.417480,-58.127911,382.262268,,,,1115.736450,791.264954,181.759155,1122.272339,932.144531,196.523148,870.000977,981.622192,196.760208,824.650024,846.193481,184.217026,669.593567,383.416748,13.538856,553.227295,13.953902,397.607452,482.230194,-126.890945,500.695648,516.729919,-135.122757,520.692627,554.571716,-148.705231,515.540649,480.165924,-240.822815,478.018463,423.147736,-439.859100,497.264221,653.760986,85.260490,590.986084,641.369568,760.605591,667.903625,991.009399,1005.336792,698.796936,1257.828247,642.339905,664.356506,975.645081,26.161301,587.756897
26,0,982.486877,-551.121094,475.366974,1027.688477,-349.787231,456.519196,1074.339111,-270.556885,366.171967,1096.917603,-263.820404,396.501617,1096.554077,-256.001038,435.936920,1053.422974,-58.121647,382.266388,,,,1115.767456,791.265808,181.757629,1122.311279,932.164307,196.538651,870.050110,981.610168,196.748642,824.755127,846.192383,184.189789,669.593689,383.413910,13.545741,553.261230,13.902719,397.635071,482.306793,-126.929611,500.699829,516.802002,-135.087524,520.691956,554.604797,-148.727859,515.535400,480.182709,-240.851334,478.048523,423.141602,-439.873474,497.269196,653.748474,85.387878,591.080872,641.382996,760.620056,667.841675,991.034546,1005.344727,698.782837,1257.839722,642.325623,664.370850,975.694031,26.206749,587.789246
27,0,982.485413,-551.146790,475.365265,1027.649048,-349.783844,456.505066,1074.324463,-270.561279,366.144287,1096.854736,-263.765350,396.501038,1096.544800,-256.050751,435.992615,1053.227417,-58.170631,382.254517,,,,1115.715088,791.226562,181.750763,1122.276245,932.145630,196.532227,869.982117,981.609375,196.722794,824.579407,846.269043,184.247894,669.594666,383.406830,13.514265,553.290161,13.900468,397.631805,482.209808,-126.946495,500.724854,516.762695,-135.120117,520.638489,554.557556,-148.731674,515.496826,480.141479,-240.846283,478.036224,423.133179,-439.871490,497.223602,653.784607,85.271805,590.979980,641.383911,760.584900,667.853882,991.007446,1005.342346,698.759033,1257.840942,642.352478,664.372131,975.682434,26.164146,587.764648
28,0,982.498291,-551.166931,475.366821,1027.670410,-349.772644,456.520386,1074.343384,-270.535034,366.145874,1096.943115,-263.753387,396.539642,1096.612915,-256.000732,435.997406,1053.758911,-57.794395,382.765930,,,,1115.747925,791.247314,181.749008,1122.316650,932.168335,196.529709,870.067200,981.626587,196.747223,824.705994,846.267212,184.206619,669.634338,383.409424,13.513868,553.274414,13.953961,397.631622,482.409393,-127.006294,500.503357,516.813904,-135.061050,520.663940,554.586121,-148.701569,515.498291,480.188446,-240.835968,478.032196,423.160248,-439.869812,497.219879,653.798035,85.275070,591.018127,641.401489,760.606140,667.841675,991.019043,1005.367065,698.786194,1257.827393,642.358826,664.359924,975.685181,26.148857,587.766357
29,0,982.446899,-551.145813,475.341339,1027.668823,-349.775787,456.518494,1074.334473,-270.623932,366.203949,1096.888672,-263.744293,396.529388,1096.534424,-255.991302,435.987030,1053.221924,-58.159801,382.255676,,,,1115.714478,791.244690,181.767365,1122.307373,932.178406,196.565140,870.013184,981.647705,196.711014,824.953308,846.016113,184.045151,669.583130,383.406799,13.520004,553.264343,13.922967,397.592468,482.270844,-126.963837,500.691345,516.772461,-135.101639,520.667847,554.584473,-148.749817,515.543823,480.165161,-240.859375,478.045166,423.141937,-439.892059,497.250427,653.689880,85.421570,591.070740,641.386230,760.618713,667.878174,990.981628,1005.322083,698.718628,1257.806152,642.334534,664.352783,975.710327,26.167324,587.761780
