Trajectories
100
,,WB Sys Redo:WB_Door1,,,WB Sys Redo:WB_Door2,,,WB Sys Redo:WB_Door3,,,WB Sys Redo:WB_Door4,,,WB Sys Redo:WB_Door5,,,WB Sys Redo:WB_Door6,,,WB Sys Redo:WB_Door7,,,WB Sys Redo:WB_Door8,,,WB Sys Redo:WB_Door9,,,WB Sys Redo:WB_Door10,,,WB Sys Redo:WB_Frame1,,,WB Sys Redo:WB_Frame2,,,WB Sys Redo:WB_Frame3,,,WB Sys Redo:WB_Frame4,,,WB Sys Redo:WB_Frame5,,,WB Sys Redo:WB_Frame6,,,WB Sys Redo:WB_Frame7,,,WB Sys Redo:WB_Frame8,,,WB Sys Redo:WB_Frame9,,,WB Sys Redo:WB_Frame10,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,1099.656006,690.162231,930.533142,1103.463623,707.699829,894.903259,1107.166382,743.140747,877.229004,1217.863281,751.958801,1217.434692,1220.127808,767.093201,1648.580322,1166.618896,765.456238,1685.955933,1154.669067,176.922897,1653.905518,1103.760620,182.992035,1688.567627,1099.866455,172.433350,1008.059143,1153.912476,175.934128,1189.964478,1133.807617,1042.628296,1770.850586,1134.304077,917.412537,600.048035,1150.390137,77.200020,321.606323,1148.461060,79.572350,434.664062,1063.648926,17.756119,457.267700,1152.404785,86.281738,1066.320435,1154.162231,86.863426,1176.323486,1050.476318,36.397175,1727.920898,1152.844238,90.865097,1812.502075,1150.971802,92.684921,1924.219604
21,0,1099.586060,690.131226,930.672729,1103.340332,707.811096,894.859314,1107.093628,743.096680,877.297791,1217.871094,751.945374,1217.389160,1220.148438,767.085266,1648.558228,1166.576172,765.466064,1685.895508,1154.677734,176.934921,1653.889893,1103.717407,182.979889,1688.598999,1100.017822,172.474060,1008.055115,1153.930298,175.950958,1189.948608,1133.823242,1042.599609,1770.848877,1134.338501,917.020142,599.953186,1150.852417,76.934242,322.023010,1148.181641,79.473724,434.385803,1063.642090,17.814545,457.218048,1152.325928,86.428398,1066.300293,1154.176025,86.866554,1176.303467,1050.449951,36.459949,1727.888428,1152.872070,90.896599,1812.490356,1151.056519,92.720268,1924.209595
22,0,1099.618530,690.254761,930.797424,1103.339478,707.778503,894.914001,1107.183838,743.126709,877.255066,1217.862915,751.943848,1217.401855,1220.122314,767.106689,1648.563232,1166.615234,765.469238,1685.917236,1154.663696,176.926712,1653.912842,1103.682007,182.949799,1688.672729,1099.852539,172.424225,1008.099792,1153.914429,175.929077,1189.942871,1133.762817,1042.464478,1770.765503,1134.303589,917.424500,600.054871,1150.747681,76.878220,322.124634,1148.504028,79.528969,434.593048,1063.649414,17.762272,457.288300,1152.429810,86.426918,1066.541748,1154.145142,86.858376,1176.305908,1050.473389,36.380154,1727.921021,1152.843994,90.864586,1812.470703,1151.098389,92.711662,1924.102295
23,0,1099.716797,690.062500,930.648743,1103.346558,707.766602,894.901794,1107.158691,743.161682,877.278137,1217.871948,751.938354,1217.364136,1220.139648,767.098572,1648.565674,1166.651245,765.447510,1685.868652,1154.653809,176.936951,1653.901489,1103.728638,182.954971,1688.594971,1099.924072,172.425751,1008.049011,1153.943359,175.926590,1189.968628,1133.819214,1042.586304,1770.808472,1134.294312,917.421875,600.072998,1150.822754,76.848824,322.168884,1148.326294,79.504120,434.593597,1063.676880,17.789316,457.242432,1152.444092,86.422287,1066.444092,1154.175537,86.891838,1176.322998,1050.520874,36.427734,1727.886841,1152.855591,90.878120,1812.455078,1151.007568,92.656662,1924.157959
24,0,1099.541504,690.249146,930.767578,1103.307861,707.746033,894.901245,1107.154053,743.111023,877.220398,1217.896606,751.953491,1217.408569,1220.346069,767.296326,1648.682983,1166.663574,765.439392,1685.916138,1154.671753,176.955536,1653.913940,1103.709106,182.987350,1688.603760,1099.913818,172.422791,1008.039124,1153.937744,175.955078,1189.968506,1133.817261,1042.477539,1770.790405,1134.291992,917.377930,600.023071,1150.801270,76.899101,322.047607,1148.969604,79.056259,434.998016,1063.634888,17.755884,457.304657,1152.491211,86.426842,1066.572510,1154.184204,86.873505,1176.367432,1050.493896,36.392208,1727.953003,1152.856079,90.869713,1812.462646,1151.104736,92.707512,1924.124023
25,0,1099.265747,690.329163,930.909485,1103.407349,707.799622,894.913147,1107.180054,743.130005,877.234802,1217.861572,751.970032,1217.445435,1220.165161,767.153015,1648.629150,1166.667358,765.452087,1685.891113,1154.662598,176.980453,1653.935669,1103.703979,182.917801,1688.657349,1099.985474,172.461975,1007.963562,1153.942383,175.964035,1189.998169,1133.818359,1042.412476,1770.728760,1134.285522,917.412903,600.084656,1150.767822,76.921516,322.141113,1149.092651,79.098793,435.218475,1063.612183,17.798275,457.347321,1152.453979,86.283157,1066.306396,1154.153564,86.899307,1176.373779,1050.471680,36.384048,1728.014771,1152.840454,90.887604,1812.488037,1151.103882,92.712929,1924.141357
26,0,1099.833984,690.202087,930.380432,1103.427612,707.688782,894.840698,1107.154053,743.124084,877.302307,1217.869019,751.982117,1217.433838,1220.190918,767.153809,1648.620850,1166.649536,765.450439,1685.893799,1154.690552,176.961044,1653.943115,1103.739990,182.961273,1688.632812,1099.879883,172.451416,1008.047119,1153.948975,175.986740,1189.995850,1133.908081,1042.977661,1771.013428,1134.295776,917.395874,600.050110,1150.366333,77.417107,321.664642,1148.401611,79.614433,434.752197,1063.640991,17.837885,457.345673,1152.485596,86.475868,1066.597778,1154.199707,86.970451,1176.385376,1050.488892,36.454304,1727.974854,1152.882935,90.888824,1812.485107,1151.119873,92.735985,1924.178345
27,0,1099.822632,690.138062,930.735657,1103.365479,707.736938,894.930725,1107.140381,743.163574,877.274658,1217.873901,751.961426,1217.431519,1220.363525,767.283447,1648.710815,1166.592285,765.446228,1685.922729,1154.677490,176.972427,1653.932739,1103.677734,182.925354,1688.645874,1100.026367,172.498993,1007.946594,1153.919922,175.970078,1189.966919,1133.742310,1042.422852,1770.724243,1134.287476,917.433044,600.042725,1150.725098,76.966026,322.132965,1148.409546,79.505539,434.603485,1063.611328,17.799370,457.370605,1152.495728,86.428497,1066.605713,1154.182617,86.842575,1176.397949,1050.476685,36.412727,1727.978760,1152.837036,90.865669,1812.487915,1151.034912,92.699593,1924.236450
28,0,1099.628662,690.258606,930.528992,1103.340088,707.754822,894.872925,1107.080933,743.140503,877.304077,1217.882202,751.987305,1217.436401,1220.186157,767.161133,1648.622681,1166.573364,765.458557,1685.916748,1154.700562,176.950012,1653.926147,1103.794312,182.995621,1688.640381,1100.169067,172.494095,1008.025391,1153.953003,175.973434,1189.987915,1133.829224,1042.550171,1770.782715,1134.291382,917.422119,600.056458,1150.819824,76.937637,322.166565,1148.486938,79.648987,434.529449,1063.690186,17.831120,457.310181,1152.476807,86.307243,1066.304199,1154.213989,86.929214,1176.373291,1050.531860,36.473492,1727.918091,1152.852173,90.920860,1812.480103,1151.096191,92.769302,1924.278931
29,0,1099.779419,690.215332,930.444153,1103.432739,707.700867,894.913635,1107.157104,743.084961,877.206848,1217.845337,751.964539,1217.436523,1220.339111,767.279053,1648.688232,1166.631592,765.483704,1685.928955,1154.673218,176.960007,1653.914795,1103.787231,182.946320,1688.624268,1099.953857,172.456360,1008.052612,1153.927002,175.969940,1189.971313,1133.755859,1042.516113,1770.774170,1134.298340,917.440979,600.072021,1150.802124,76.858604,322.165222,1148.396851,79.448296,434.738342,1063.569702,17.817055,457.296906,1152.531494,86.345604,1066.514648,1154.172607,86.816063,1176.331787,1050.472534,36.405785,1727.961182,1152.846313,90.894524,1812.512695,1151.085449,92.728455,1924.270874
