Trajectories
100
,,WB Sys Redo:WB_Door1,,,WB Sys Redo:WB_Door2,,,WB Sys Redo:WB_Door3,,,WB Sys Redo:WB_Door4,,,WB Sys Redo:WB_Door5,,,WB Sys Redo:WB_Door6,,,WB Sys Redo:WB_Door7,,,WB Sys Redo:WB_Door8,,,WB Sys Redo:WB_Door9,,,WB Sys Redo:WB_Door10,,,WB Sys Redo:WB_Frame1,,,WB Sys Redo:WB_Frame2,,,WB Sys Redo:WB_Frame3,,,WB Sys Redo:WB_Frame4,,,WB Sys Redo:WB_Frame5,,,WB Sys Redo:WB_Frame6,,,WB Sys Redo:WB_Frame7,,,WB Sys Redo:WB_Frame8,,,WB Sys Redo:WB_Frame9,,,WB Sys Redo:WB_Frame10,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
27,0,1096.461548,678.108765,937.835022,,,,,,,1214.013672,735.481812,1226.191895,1213.885010,745.017700,1657.389893,1160.138672,742.965759,1694.262207,1146.624023,155.234512,1655.084717,1095.448975,160.978714,1689.587158,1095.439331,158.978012,1008.427734,1148.500854,159.774368,1190.929932,1112.861206,1016.462585,1773.118652,1129.086914,909.581848,603.026794,1148.343018,72.415237,320.576294,1146.322266,73.254814,434.079315,1061.621216,11.058827,455.517761,1147.194214,71.636208,1066.078491,1148.031616,70.665665,1176.158691,1042.364868,12.098028,1726.505249,,,,1141.563965,67.333603,1924.370361
28,0,1097.144409,677.924316,938.195984,,,,,,,1213.753906,735.460449,1226.030762,1213.864258,745.006104,1657.349854,1160.083252,742.992004,1694.277466,1146.592651,155.271820,1655.078613,1095.564575,160.811508,1689.579102,1095.489014,158.893539,1008.389465,1148.427490,159.727631,1190.870605,1112.895630,1016.174438,1773.015503,1129.101440,909.632202,603.015503,1148.242920,72.373329,320.537689,1146.621216,72.972778,434.360229,1061.587036,11.023172,455.566345,1146.966797,71.562195,1065.894897,1147.900635,70.708344,1176.056885,1042.330444,12.114426,1726.451904,1135.579590,66.903481,1805.497070,1141.649658,67.439064,1924.274658
29,0,1096.481445,678.112488,937.869324,,,,,,,1213.782837,735.448914,1226.046265,1213.855835,745.000671,1657.345947,1160.116333,742.980042,1694.343018,1146.577881,155.253723,1655.102905,1095.452759,160.843063,1689.481201,1095.424805,158.926590,1008.399475,1148.447632,159.727570,1190.864746,1112.856567,1016.424072,1773.159790,1129.076416,909.604248,603.029907,1148.285522,72.424500,320.549255,1146.071289,73.206398,433.920044,1061.651245,10.936124,455.493286,1147.028198,71.603630,1065.854370,1147.958496,70.678772,1176.047485,1042.339600,12.157517,1726.390137,1135.768311,66.762306,1805.297852,1141.506104,67.373100,1924.326172
30,0,1097.084106,677.900024,938.101013,,,,,,,1213.789429,735.485535,1226.060547,1213.888428,745.019836,1657.375000,1160.111084,742.989807,1694.388428,1147.302124,155.817596,1655.363037,1095.421265,160.846039,1689.573120,1095.414185,158.939560,1008.398682,1148.416992,159.752075,1190.871460,1112.911621,1016.420837,1773.078491,1129.090698,909.614746,602.995361,1148.271729,72.400078,320.561066,1146.123901,73.222511,434.027618,1061.545898,11.017086,455.556854,1146.939819,71.582535,1065.900879,1147.952515,70.682762,1176.134766,1042.294678,12.117197,1726.422729,,,,1141.517212,67.339912,1924.280396
31,0,1097.196045,677.962036,938.151306,,,,,,,1213.801392,735.502563,1226.063110,1213.876587,745.050049,1657.377075,1160.120728,743.004639,1694.402466,1146.566895,155.242661,1655.105103,1095.541626,160.975327,1689.665771,1095.426880,158.938370,1008.427979,1148.435547,159.755859,1190.872314,1112.885986,1016.221741,1773.017578,1129.101929,909.638672,603.039001,1148.297119,72.407486,320.528412,1146.182617,73.249535,433.994324,1061.659302,11.062827,455.513428,1147.036011,71.591156,1065.947632,1147.971436,70.696350,1176.051392,1042.334106,12.086143,1726.458130,,,,1141.521118,67.386902,1924.332031
32,0,1097.107666,677.904053,938.138428,,,,,,,1213.770630,735.507080,1226.061890,1213.916382,745.017090,1657.356445,1160.049927,743.022156,1694.390991,1147.349731,155.868851,1655.440308,1095.087280,160.952835,1689.625854,1095.435059,158.952347,1008.429749,1148.444824,159.737885,1190.845459,1112.875732,1016.458496,1773.125122,1129.106079,909.606262,602.995789,1148.289062,72.424416,320.486115,1146.204224,73.192795,434.007782,1061.625366,10.979954,455.486786,1147.026855,71.580994,1065.894897,1147.951904,70.686867,1176.054199,1042.300415,12.136017,1726.405762,,,,1141.594727,67.303093,1924.317139
33,0,1096.470825,678.150940,937.874329,,,,,,,1213.749390,735.490723,1226.067505,1213.925415,745.036804,1657.379517,1160.083984,743.015808,1694.387817,1147.327637,155.869904,1655.519531,1095.322754,160.963333,1689.620728,1095.478271,158.956497,1008.415344,1148.451172,159.757843,1190.877808,1112.866821,1016.365417,1773.095825,1129.096436,909.712524,603.039490,1148.169678,72.416481,320.458618,1146.046753,73.210350,433.893738,1061.663818,11.075879,455.530121,1147.041748,71.555092,1065.906372,1147.962402,70.729492,1176.080811,1042.321411,12.119941,1726.435059,,,,1141.600098,67.495575,1924.299561
34,0,1096.467163,678.137512,937.847412,,,,,,,1213.767700,735.490234,1226.047241,1213.944214,745.046509,1657.381348,1160.114746,742.987122,1694.258301,1147.336548,155.866028,1655.521484,1095.412598,160.979263,1689.634277,1095.434814,158.939545,1008.436340,1148.503296,159.778275,1190.878662,1112.957275,1016.446472,1773.129639,1129.084839,909.601013,603.033508,1148.265015,72.467651,320.469574,1146.276733,73.214287,434.057892,1061.724487,10.972175,455.497681,1147.106812,71.596535,1065.927612,1148.020508,70.733032,1176.118530,1042.349609,12.159715,1726.473633,,,,1141.628784,67.344460,1924.316284
35,0,1097.148682,677.903931,938.192261,,,,,,,1213.963379,735.460938,1226.140381,1213.962158,745.049927,1657.376587,1160.142822,743.002258,1694.291748,1147.191528,155.778549,1655.520264,1095.234619,160.867599,1689.500366,1095.408936,158.902039,1008.457520,1148.470825,159.727020,1190.857544,1112.942871,1016.336792,1773.077026,1129.111938,909.622925,603.003784,1149.108398,72.068016,321.255371,1146.203247,73.182571,434.006561,1061.553589,11.017634,455.539246,1147.043457,71.593254,1065.911743,1147.975586,70.689384,1176.061523,1042.388184,12.097303,1726.538940,,,,1141.673828,67.532127,1924.342651
36,0,1097.132568,677.944580,938.211304,,,,,,,1214.010864,735.458008,1226.153687,1213.966309,745.059753,1657.371826,1160.153809,742.998413,1694.230713,1147.200684,155.732697,1655.497681,1095.329346,160.955002,1689.648926,1095.496216,158.945938,1008.406738,1148.559204,159.741898,1190.878174,1112.939331,1016.463013,1773.145264,1129.121216,909.608582,603.036865,1148.361328,72.433838,320.560547,1146.730469,72.967041,434.348480,1061.729980,11.067314,455.472504,1147.282471,71.652214,1066.009155,1148.013672,70.714287,1176.040527,1042.382568,12.162622,1726.485474,,,,1141.730469,67.263908,1924.359863
